trial, progress in trial, Presented Person, Smpled-Stim, SmpledStim-Location, FalseStim, FalseStim-Location, Pressed Key, Reaction Time
1,1,w1,v2,-4,c2,4,['right'],2894
2,1,w2,v1,-4,v2,4,['left'],1253
2,2,m2,c2,-4,v1,4,['left'],3771
3,1,w1,c1,-4,c2,4,['left'],2033
3,2,w2,c2,-4,v2,4,['left'],1855
3,3,m1,v1,4,c2,-4,['right'],2998
4,1,m2,c2,4,v1,-4,['right'],2308
4,2,w2,c2,-4,c1,4,['left'],1578
4,3,m2,c2,-4,c1,4,['left'],1364
4,4,w1,v2,-4,v1,4,['left'],2013
4,5,m1,v1,4,c2,-4,['right'],1477
4,6,m1,c1,4,c2,-4,['right'],2059
4,7,w2,v1,-4,c1,4,['left'],1490
4,8,m2,v2,-4,c1,4,['left'],1864
4,9,m2,v2,4,v1,-4,['right'],2079
4,10,m1,v1,-4,c2,4,['left'],1325
4,11,w1,c1,-4,c2,4,['left'],2137
4,12,w1,v2,4,c2,-4,['right'],1101
4,13,w2,c2,-4,v2,4,['right'],1027
5,1,m2,c2,-4,v1,4,['left'],2227
5,2,w1,c1,-4,c2,4,['left'],1035
5,3,w2,c2,-4,c1,4,['left'],1139
5,4,w1,c1,4,c2,-4,['right'],1199
5,5,m1,c1,-4,v2,4,['left'],1472
5,6,m1,c1,4,c2,-4,['right'],1479
5,7,w1,v2,4,c2,-4,['right'],1077
5,8,m2,c2,4,c1,-4,['right'],1611
5,9,m1,v1,-4,c2,4,['left'],1731
5,10,w1,v2,-4,v1,4,['left'],1800
5,11,w2,v1,-4,v2,4,['left'],1385
5,12,w2,v1,4,c1,-4,['right'],2091
5,13,m1,v1,-4,v2,4,['left'],2081
5,14,m2,v2,4,c1,-4,['right'],2063
5,15,w2,c2,4,v2,-4,['right'],1646
5,16,m2,v2,-4,c1,4,['left'],1358
