trial, progress in trial, Presented Person, Smpled-Stim, SmpledStim-Location, FalseStim, FalseStim-Location, Pressed Key, Reaction Time
1,1,m1,v1,-4,v2,4,['left'],2469
1,2,m1,c1,-4,c2,4,['right'],2883
2,1,w1,v2,4,c2,-4,['right'],3391
3,1,m1,c1,4,c2,-4,['right'],1008
3,2,m2,c2,4,c1,-4,['right'],914
3,3,w2,v1,4,c1,-4,['right'],998
3,4,m2,v2,-4,c1,4,['left'],2351
3,5,w1,v2,4,v1,-4,['right'],1291
3,6,w2,v1,4,c1,-4,['right'],792
3,7,m1,v1,4,c2,-4,['right'],1563
3,8,m1,c1,4,v2,-4,['right'],1149
3,9,m2,v2,-4,v1,4,['left'],1033
3,10,w2,c2,-4,c1,4,['right'],1632
4,1,m1,v1,-4,c2,4,['left'],1285
4,2,m2,c2,-4,v1,4,['left'],1163
4,3,m1,c1,-4,c2,4,['left'],1102
4,4,w2,c2,-4,v2,4,['left'],1043
4,5,w1,c1,-4,c2,4,['left'],1827
4,6,m1,v1,4,v2,-4,['right'],1123
4,7,w2,v1,4,v2,-4,['right'],2079
4,8,w2,v1,4,c1,-4,['right'],1085
4,9,w1,v2,4,c2,-4,['right'],1139
4,10,w1,c1,-4,c2,4,['left'],943
4,11,w2,c2,-4,c1,4,['left'],1610
4,12,m1,c1,-4,c2,4,['right'],1963
5,1,w2,v1,4,v2,-4,['right'],1133
5,2,m2,c2,-4,v1,4,['left'],1015
5,3,w2,v1,4,c1,-4,['right'],1208
5,4,m2,v2,-4,v1,4,['left'],1305
5,5,m1,v1,-4,c2,4,['left'],1046
5,6,m1,c1,4,c2,-4,['right'],1926
5,7,m1,v1,-4,v2,4,['left'],962
5,8,w2,c2,-4,c1,4,['left'],1637
5,9,w1,v2,4,v1,-4,['right'],1229
5,10,m1,c1,4,c2,-4,['right'],1277
5,11,w1,c1,-4,c2,4,['left'],1691
5,12,w2,c2,4,v2,-4,['right'],1793
5,13,w1,c1,4,c2,-4,['right'],1938
5,14,w1,v2,4,c2,-4,['right'],1047
5,15,m2,v2,-4,v1,4,['left'],1830
5,16,m2,c2,-4,v1,4,['left'],550
